Label,First release,Last release,Releases
!Danger,1998,2001,14
!K7 Records (2),1999,1999,13
!Records,2004,2005,14
"""Whiskey, Women, And ...""",1983,1991,19
(SISYPHE),2000,2005,12
(Static Station),1996,1998,19
*inchworm.,1994,1995,20
-N,2005,2005,14
.447 Records Ltd.,1999,2001,12
.netspheres,2004,2004,20
00A,1999,2000,22
02 Records,1990,1992,23
0711 Tapes,1998,2000,17
1 Dimensional Records,1983,1988,11
1 In 12 Records,1984,2000,13
1 Life 1 Love Records,2000,2005,19
10 Records Ltd.,1984,1990,19
10.000 Zippers,1992,1998,13
100%,1993,1995,20
100% Rap,1996,1997,21
1000 Watt Recordings,2002,2002,12
1000 dB,1990,1990,11
101 Records (3),1980,1981,16
101 Records (4),1996,1999,13
101.5 The Zone,1993,1995,14
102 Productions,1985,1987,16
102.1 The Edge,1995,1997,11
10th Planet (2),2000,2002,12
1190 KEX Radio,1985,2003,12
11c Recordings,2003,2005,13
11th Hour Recordings,2003,2003,11
12 Inch Monkeys,1998,2000,11
12 Inch Thumpin Hard,2001,2001,21
12-2,1997,1997,11
1200 Music,1994,1996,19
1210 Recordings,2000,2001,24
125 Records,1999,2001,15
12th Records,1999,2002,13
13 Miles Out,2001,2004,20
13 Студия Records,2002,2002,11
13th Moon Records,1996,2001,17
13th Tribe Music,1993,1995,11
13th Tribe Productions,2005,2005,16
144b Black Scorpio,2000,2000,16
16 Tons (2),1988,1990,15
16th Avenue Records (2),1983,1983,11
17cm Records,2003,2003,23
18 Wheeler,1992,1995,16
180 Records,1998,1998,13
1881 Records,2002,2002,13
19 Management Limited,1995,1999,12
19-t Records,2001,2001,24
1967 Ltd.,2003,2003,12
1969 Recordings,2002,2002,17
1970 Recordings,1999,2001,23
19th Street Records,1996,1998,18
1A Productions,1993,1994,13
1M1 Records,1989,2003,17
1st Foundation,1997,1999,15
2 Dance,2002,2003,25
2 Dope Records (2),1990,1999,17
2 Getherness,1995,1995,17
2 Hyped Records,1996,1997,22
2 Loaded Records,1996,2004,13
2 Play Records (UK),2003,2003,13
2 Sweet Production,2002,2002,12
2 Sweet Records,1990,2000,12
2'3music,1997,2003,21
20 Greene,1993,1994,16
20 Speed Records,1999,2004,19
20/20 Music,2000,2002,14
20/20 Recordings (2),1991,1992,11
2000 AD Productions,1994,1995,18
2000 AD Records,1980,1987,16
2000 Gold Sound,2000,2000,15
2001 (3),1994,2000,11
2001 Producciones Artisticas,1990,2004,15
2024 Records,2002,2003,13
20:20 D Vision,1998,2000,14
20th Century Fox Film Scores,1993,1994,19
21 Records (2),1992,1992,15
2112,2003,2005,12
2112 Records,1995,1998,13
212 Productions,1995,1996,20
212° Music,1996,1996,14
214 Records,1991,1991,25
218 St. Records,1993,1995,18
21C Records,1998,2000,11
220N,1997,1998,11
23 Temple,1996,1996,17
235,1983,1986,12
23rd Precinct Recordings,1991,1993,19
24 Bit Remasters,2000,2002,14
24 Seven Recordings,2001,2002,18
246 Records,1995,1998,11
24k Records,1998,1999,11
25 Hits & Classics,1992,1992,12
25 Records,1994,2000,18
25eme Dimension,2002,2004,11
2B Free Records,1991,1992,15
2B Grafton Road,1994,1998,11
2B1 Multimedia Inc.,2001,2002,15
2CB,1997,1998,18
2CB (2),2003,2004,13
2Cus Production,2003,2003,18
2Day,1992,1993,22
2Fly Entertainment,2000,2003,12
2K Games,2005,2005,18
2QS Production,1997,1998,19
2S2,2000,2002,23
2T3M,2002,2005,13
2X Records,1993,1995,11
2b Productions,1994,1995,13
2e2m Collection,1995,1996,15
2good,2002,2002,14
3 Acre Floor,1997,2000,18
3 Beads Of Sweat,1994,2002,11
3 E Media,2003,2005,19
3 Finger Records,2001,2001,18
3 Pyramides,1999,2001,14
3-Klang Records,1990,1991,16
