Label,First release,Last release,Releases
!Drum! Records,1982,1985,8
"""21"" Compagnia Generale Dello Spettacolo",1989,1991,5
"""A Jászságért"" Alapítvány",1998,1999,5
"""Death For Profit"" Tapes",1985,1993,5
"""PP""",1982,1986,5
"""TWS"" Company",2003,2003,8
"""W"" Records",1995,1996,8
"""W-Records"" Ltd.",2000,2000,5
"""Y"" Records",1999,1999,8
"""Росток-Рекордс""",1998,1999,10
# Moving Beats,1996,1996,5
#1 Choice,1994,1995,8
#1 Records,1991,1993,5
$ Money Is Just An Easy Thing,2001,2002,6
$kandalø$,1999,2001,6
'Cane Records,1994,1997,9
'Round Midnight (2),1988,1988,7
'tique Records,1993,1993,7
((tape-tape)),1997,2001,5
(C). U. Next Tuesday Records,1996,1997,6
(EM) Records,2000,2002,7
(UZIPROD) UZI Productions,1998,1999,9
+EYE,2002,2002,6
-273ºC,1994,1996,8
...And All The Hills Echoed,1995,1995,6
.W.O.R.L.D Records,2003,2004,6
/qoo7,2004,2004,7
0 To 1 Recordings,2000,2004,5
007 Records (5),1987,1988,5
007 Records (6),1988,2004,10
007 Tapes,1982,1983,5
01 Completion,1994,2001,5
011 Records,2005,2005,10
0152 Records,2003,2005,5
02 Records (2),2001,2003,5
020,2003,2004,10
0742 Records,1990,1990,5
1 1/4 York,1989,1990,9
1 Blood Records,2004,2005,8
1 Records,2004,2004,6
1 Up 3 Down Productions,2002,2003,8
1 Way Out Records,1999,2001,9
1-5 South Records UK,1996,1998,6
1-Sein Records,1997,1998,8
1.4.5 Records,1993,1998,5
1/2 Records,1982,1982,7
10 Denk Records,1995,1995,9
10 Inch Press,1995,1996,8
10 Records (2),1996,1998,5
10 Vor 10,1999,2000,6
10-34 Records,2003,2005,5
10.95,1995,1995,10
100 Records (2),1999,2000,5
100 Years Of Solitude,1996,1996,7
100% Acidiferous,1993,1993,9
100% British,1997,2000,7
100% Cheese,1994,1994,9
100% Over(b)right,1996,1996,8
100% Profesional,1994,1996,8
100% Recordings,2002,2002,6
1000 Schallplatten,2002,2002,7
1001 Nótt,2002,2002,7
1001 Records,2000,2004,9
"1001 Sundays, Inc.",1991,1991,5
101 Cordas,1983,1983,8
101 International,1983,1983,10
101 Noites,2002,2002,5
101 Records (2),1990,1990,9
101KGB,1999,2000,7
102.1 KPRi,2003,2004,6
105 Entertainment,2002,2005,7
106 Records,1992,1992,5
10th Planet,1994,1995,10
10th Planet Records,1996,2004,5
11-A Records,1986,1987,7
111 Productions (2),1999,2001,5
11:07 Presentations,1997,1998,10
11pm Recordings,2002,2005,9
11th Hour Entertainment,2001,2001,5
12 For DJs,1992,1994,5
12 Gauge Records,1993,1993,9
12 Inch RPM,1997,1997,7
12 Months,2002,2003,5
12 Records,2003,2004,5
12 Tracks Records,1987,1987,5
